player_id,name,captain_count,captain_pct
2498,Wålemark,217,21.7%
2917,Sayyadmanesh,168,16.8%
1168,Makuch,84,8.4%
2671,Czubak,57,5.7%
1319,Wszołek,49,4.9%
765,Imaz,45,4.5%
1327,Urbański,43,4.3%
1725,Emreli,29,2.9%
2733,Palma,28,2.8%
2943,González,25,2.5%
480,Nowak,24,2.4%
1507,Zjawiński,21,2.1%
2481,Hasić,20,2.0%
2123,Gurgul,19,1.9%
1987,Sánchez,18,1.8%
1464,Szmyt,18,1.8%
2406,Chłań,16,1.6%
2431,Vinagre,15,1.5%
2767,Agnero,13,1.3%
2939,Prelec,12,1.2%
2389,Diaby-Fadiga,10,1.0%
2423,N&#039;Diaye,7,0.7%
303,Stępiński,6,0.6%
1092,Samiec-Talar,6,0.6%
2367,Mońka,5,0.5%
1521,Kapustka,4,0.4%
2880,Bozic,3,0.3%
2717,Rodríguez,3,0.3%
1299,Carlos,2,0.2%
1770,Pieńko,2,0.2%
2980,Klynge,2,0.2%
1540,Wojtuszek,2,0.2%
2966,Agbonifo,2,0.2%
166,Janicki,2,0.2%
184,Wolski,2,0.2%
1026,Lis,2,0.2%
138,Gumny,1,0.1%
2815,Montóia,1,0.1%
2902,Piazón,1,0.1%
1632,Kozubal,1,0.1%
1719,Ameyaw,1,0.1%
1880,Szkurin,1,0.1%
2104,Sáček,1,0.1%
1712,Pereira,1,0.1%
2568,Sow,1,0.1%
1225,Grzesik,1,0.1%
2225,Álvarez,1,0.1%
2841,Ikia Dimi,1,0.1%
1909,Adamski,1,0.1%
1697,Kakabadze,1,0.1%
1169,Skrzypczak,1,0.1%
1341,Tudor,1,0.1%
2430,Nsame,1,0.1%
1490,Trelowski,1,0.1%
2629,Faßbender,1,0.1%
