player_id,name,in_squad_count,in_starting_count,captain_count,squad_pct,starting_pct,captain_pct
480,Nowak,94,94,13,94.0%,94.0%,13.0%
2205,Pululu,85,85,16,85.0%,85.0%,16.0%
2110,Mena,67,67,8,67.0%,67.0%,8.0%
2234,Gholizadeh,56,56,1,56.0%,56.0%,1.0%
1540,Wojtuszek,43,43,0,43.0%,43.0%,0.0%
1299,Carlos,41,41,2,41.0%,41.0%,2.0%
2476,Braut Brunes,41,41,21,41.0%,41.0%,21.0%
790,Plach,40,40,0,40.0%,40.0%,0.0%
951,Jędrych,40,40,0,40.0%,40.0%,0.0%
860,Długosz,37,37,0,37.0%,37.0%,0.0%
1363,Wdowik,36,36,0,36.0%,36.0%,0.0%
2671,Czubak,35,35,2,35.0%,35.0%,2.0%
2423,N&#039;Diaye,32,32,1,32.0%,32.0%,1.0%
2411,Bobček,31,31,19,31.0%,31.0%,19.0%
1757,Mrozek,30,30,0,30.0%,30.0%,0.0%
563,Wasielewski,29,29,0,29.0%,29.0%,0.0%
765,Imaz,24,24,7,24.0%,24.0%,7.0%
1010,Félix Garcia,23,23,0,23.0%,23.0%,0.0%
303,Stępiński,22,22,0,22.0%,22.0%,0.0%
2123,Gurgul,20,20,0,20.0%,20.0%,0.0%
1794,Grosicki,18,18,1,18.0%,18.0%,1.0%
1192,Janža,15,15,0,15.0%,15.0%,0.0%
2817,Kornvig,12,12,1,12.0%,12.0%,1.0%
2389,Diaby-Fadiga,12,12,1,12.0%,12.0%,1.0%
2367,Mońka,11,11,0,11.0%,11.0%,0.0%
1795,Abramowicz,11,11,0,11.0%,11.0%,0.0%
2562,Mazurek,10,10,0,10.0%,10.0%,0.0%
1475,Ishak,10,10,4,10.0%,10.0%,4.0%
1928,Svarnas,8,8,0,8.0%,8.0%,0.0%
2406,Chłań,8,8,0,8.0%,8.0%,0.0%
2717,Rodríguez,8,8,0,8.0%,8.0%,0.0%
1341,Tudor,7,7,0,7.0%,7.0%,0.0%
86,Romanczuk,7,7,0,7.0%,7.0%,0.0%
2775,Ronaldo,7,7,1,7.0%,7.0%,1.0%
2287,Zych,7,7,0,7.0%,7.0%,0.0%
2384,Galán,7,7,0,7.0%,7.0%,0.0%
2783,Zeqiri,6,6,0,6.0%,6.0%,0.0%
2073,Wahlqvist,5,5,0,5.0%,5.0%,0.0%
991,Neugebauer,5,5,0,5.0%,5.0%,0.0%
2016,Lewicki,5,5,0,5.0%,5.0%,0.0%
1435,Strączek,4,4,0,4.0%,4.0%,0.0%
2768,Čolak,4,4,0,4.0%,4.0%,0.0%
128,Sekulski,4,4,0,4.0%,4.0%,0.0%
2799,Bukari,4,4,0,4.0%,4.0%,0.0%
701,Kun,3,3,0,3.0%,3.0%,0.0%
1853,Racovițan,3,3,0,3.0%,3.0%,0.0%
1225,Grzesik,3,3,0,3.0%,3.0%,0.0%
994,Klemenz,3,3,0,3.0%,3.0%,0.0%
1529,Fornalczyk,3,3,1,3.0%,3.0%,1.0%
1719,Ameyaw,3,3,0,3.0%,3.0%,0.0%
2800,Cheng,3,3,0,3.0%,3.0%,0.0%
1835,Biczachczjan,3,3,0,3.0%,3.0%,0.0%
2728,Rivas,3,3,0,3.0%,3.0%,0.0%
1573,Milić,3,3,0,3.0%,3.0%,0.0%
2481,Hasić,3,3,0,3.0%,3.0%,0.0%
1126,Piątkowski,2,2,1,2.0%,2.0%,1.0%
2286,Cojocaru,2,2,0,2.0%,2.0%,0.0%
633,Wdowiak,2,2,0,2.0%,2.0%,0.0%
2801,Drągowski,2,2,0,2.0%,2.0%,0.0%
2424,Wolski,2,2,0,2.0%,2.0%,0.0%
171,Chrapek,2,2,0,2.0%,2.0%,0.0%
992,Wiśniewski,2,2,0,2.0%,2.0%,0.0%
1675,Majchrowicz,2,2,0,2.0%,2.0%,0.0%
2001,Leiva,1,1,0,1.0%,1.0%,0.0%
2053,Madejski,1,1,0,1.0%,1.0%,0.0%
395,Kubicki,1,1,0,1.0%,1.0%,0.0%
2700,Meyer,1,1,0,1.0%,1.0%,0.0%
2740,Lecoeuche,1,1,0,1.0%,1.0%,0.0%
2744,Andréou,1,1,0,1.0%,1.0%,0.0%
587,Dziczek,1,1,0,1.0%,1.0%,0.0%
2483,Capita,1,1,0,1.0%,1.0%,0.0%
2780,Ćirković,1,1,0,1.0%,1.0%,0.0%
2698,Bengtsson,1,1,0,1.0%,1.0%,0.0%
2679,Mukairu,1,1,0,1.0%,1.0%,0.0%
2756,Paulsen,1,1,0,1.0%,1.0%,0.0%
2758,Greenwood,1,1,0,1.0%,1.0%,0.0%
2707,Pozo,1,1,0,1.0%,1.0%,0.0%
2526,Liseth,1,1,0,1.0%,1.0%,0.0%
1770,Pieńko,1,1,0,1.0%,1.0%,0.0%
2293,Turek,1,1,0,1.0%,1.0%,0.0%
722,Angielski,1,1,0,1.0%,1.0%,0.0%
632,Nowak,1,1,0,1.0%,1.0%,0.0%
2719,Sanca,1,1,0,1.0%,1.0%,0.0%
2757,Krasniqi,1,1,0,1.0%,1.0%,0.0%
2473,Kosidis,1,1,0,1.0%,1.0%,0.0%
138,Gumny,1,1,0,1.0%,1.0%,0.0%
2505,Keramítsis,1,1,0,1.0%,1.0%,0.0%
1747,Drapiński,1,1,0,1.0%,1.0%,0.0%
1632,Kozubal,1,1,0,1.0%,1.0%,0.0%
2435,Ouattara,1,1,0,1.0%,1.0%,0.0%
392,Jagiełło,1,1,0,1.0%,1.0%,0.0%
1327,K. Urbański,1,1,0,1.0%,1.0%,0.0%
1477,Sezonienko,1,1,0,1.0%,1.0%,0.0%
