player_id,name,position,in_squad_count,in_starting_count,captain_count,squad_pct,starting_pct,captain_pct
480,Nowak,3,977,971,484,97.7%,97.1%,48.4%
2234,Gholizadeh,3,805,781,49,80.5%,78.1%,4.9%
2423,N&#039;Diaye,3,755,677,8,75.5%,67.7%,0.8%
2671,Czubak,,697,649,27,69.7%,64.9%,2.7%
951,Jędrych,2,680,619,9,68.0%,61.9%,0.9%
2780,Ćirković,3,518,501,44,51.8%,50.1%,4.4%
2205,Pululu,4,486,458,34,48.6%,45.8%,3.4%
1192,Janža,,432,418,3,43.2%,41.8%,0.3%
2560,Ciszek,,413,1,0,41.3%,0.1%,0.0%
2476,Braut Brunes,4,398,390,67,39.8%,39.0%,6.7%
860,Długosz,,369,129,0,36.9%,12.9%,0.0%
2123,Gurgul,,326,220,0,32.6%,22.0%,0.0%
1757,Mrozek,1,286,237,1,28.6%,23.7%,0.1%
701,Kun,2,281,254,4,28.1%,25.4%,0.4%
2598,Matysek,,271,0,0,27.1%,0.0%,0.0%
2708,Rajović,4,261,246,20,26.1%,24.6%,2.0%
2411,Bobček,4,246,245,143,24.6%,24.5%,14.3%
1475,Ishak,4,236,235,33,23.6%,23.5%,3.3%
1540,Wojtuszek,,217,137,0,21.7%,13.7%,0.0%
563,Wasielewski,,204,169,1,20.4%,16.9%,0.1%
827,Grzybek,,198,47,0,19.8%,4.7%,0.0%
994,Klemenz,,196,165,3,19.6%,16.5%,0.3%
303,Stępiński,,194,103,2,19.4%,10.3%,0.2%
765,Imaz,3,191,187,21,19.1%,18.7%,2.1%
130,Burić,,186,112,0,18.6%,11.2%,0.0%
1299,Carlos,,184,174,0,18.4%,17.4%,0.0%
1010,Félix Garcia,3,174,88,1,17.4%,8.8%,0.1%
1319,Wszołek,2,159,159,7,15.9%,15.9%,0.7%
2562,Mazurek,,148,47,0,14.8%,4.7%,0.0%
2603,Kubiak,,143,75,0,14.3%,7.5%,0.0%
774,Bergier,4,141,134,6,14.1%,13.4%,0.6%
1795,Abramowicz,,137,105,0,13.7%,10.5%,0.0%
2805,Hindrich,1,124,116,0,12.4%,11.6%,0.0%
2287,Zych,,121,114,0,12.1%,11.4%,0.0%
2225,Álvarez,,117,96,3,11.7%,9.6%,0.3%
2698,Bengtsson,3,109,86,1,10.9%,8.6%,0.1%
1363,Wdowik,2,102,58,0,10.2%,5.8%,0.0%
2608,Vereshchak,,102,1,0,10.2%,0.1%,0.0%
992,Wiśniewski,2,100,89,0,10.0%,8.9%,0.0%
2281,Kerk,3,97,83,1,9.7%,8.3%,0.1%
2779,Jurić,,89,61,2,8.9%,6.1%,0.2%
1928,Svarnas,2,86,78,0,8.6%,7.8%,0.0%
2367,Mońka,2,83,49,0,8.3%,4.9%,0.0%
2424,Wolski,3,80,64,0,8.0%,6.4%,0.0%
1280,Michalski,,78,34,0,7.8%,3.4%,0.0%
2623,Topór,,73,0,0,7.3%,0.0%,0.0%
1435,Strączek,,72,44,0,7.2%,4.4%,0.0%
2450,Brkić,,71,54,0,7.1%,5.4%,0.0%
2801,Drągowski,1,69,64,0,6.9%,6.4%,0.0%
2110,Mena,3,65,60,3,6.5%,6.0%,0.3%
1909,Adamski,,54,45,1,5.4%,4.5%,0.1%
2659,Łubik,,54,44,0,5.4%,4.4%,0.0%
2477,Reguła,,54,36,1,5.4%,3.6%,0.1%
2727,Ława,3,53,4,0,5.3%,0.4%,0.0%
2759,Markovic,3,52,52,5,5.2%,5.2%,0.5%
2406,Chłań,3,49,46,4,4.9%,4.6%,0.4%
1097,Krzepisz,,45,0,0,4.5%,0.0%,0.0%
1573,Milić,,44,16,0,4.4%,1.6%,0.0%
