player_id,name,team,position,total_points,price,points_per_price,popularity_pct,stats_url
86,Taras Romanczuk,Jagiellonia Białystok,Pomocnik,15,1.8,8.33,6%,https://fantasy.ekstraklasa.org/player/86
57,Damian Węglarz,Arka Gdynia,Bramkarz,5,1.8,2.78,1%,https://fantasy.ekstraklasa.org/player/57
87,Damian Szymański,Legia Warszawa,Pomocnik,4,1.8,2.22,1%,https://fantasy.ekstraklasa.org/player/87
20,Damian Dąbrowski,Zagłębie Lubin,Pomocnik,3,1.7,1.76,0%,https://fantasy.ekstraklasa.org/player/20
1,Rafał Dobroliński,Cracovia,Bramkarz,0,1.0,0.0,0%,https://fantasy.ekstraklasa.org/player/1
2,Damian Drzewiecki,Cracovia,Bramkarz,0,0.7,0.0,0%,https://fantasy.ekstraklasa.org/player/2
3,Grzegorz Sandomierski,Górnik Zabrze,Bramkarz,0,1.8,0.0,0%,https://fantasy.ekstraklasa.org/player/3
4,Jakub Grzywaczewski,Cracovia,Bramkarz,0,0.7,0.0,0%,https://fantasy.ekstraklasa.org/player/4
5,Adam Wilk,Cracovia,Bramkarz,0,0.8,0.0,0%,https://fantasy.ekstraklasa.org/player/5
6,Florin Bejan,Cracovia,Obrońca,0,1.0,0.0,0%,https://fantasy.ekstraklasa.org/player/6
7,Deleu,Cracovia,Obrońca,0,1.5,0.0,0%,https://fantasy.ekstraklasa.org/player/7
8,Paweł Jaroszyński,Cracovia,Obrońca,0,1.7,0.0,0%,https://fantasy.ekstraklasa.org/player/8
9,Róbert Litauszki,Cracovia,Obrońca,0,0.9,0.0,0%,https://fantasy.ekstraklasa.org/player/9
10,Kamil Pestka,Radomiak Radom,Obrońca,0,1.7,0.0,0%,https://fantasy.ekstraklasa.org/player/10
11,Piotr Polczak,Zagłębie Sosnowiec,Obrońca,0,1.7,0.0,0%,https://fantasy.ekstraklasa.org/player/11
12,Łukasz Sosnowski,Cracovia,Obrońca,0,0.7,0.0,0%,https://fantasy.ekstraklasa.org/player/12
13,Hubert Wołąkiewicz,Cracovia,Obrońca,0,1.6,0.0,0%,https://fantasy.ekstraklasa.org/player/13
14,Jakub Wójcicki,Zagłębie Lubin,Obrońca,0,1.7,0.0,0%,https://fantasy.ekstraklasa.org/player/14
15,Hubert Adamczyk,Zagłębie Lubin,Pomocnik,0,1.7,0.0,1%,https://fantasy.ekstraklasa.org/player/15
16,Mateusz Argasiński,Cracovia,Pomocnik,0,0.9,0.0,0%,https://fantasy.ekstraklasa.org/player/16
17,Marcin Budziński,Cracovia,Pomocnik,0,1.2,0.0,0%,https://fantasy.ekstraklasa.org/player/17
18,Mateusz Cetnarski,Cracovia,Pomocnik,0,1.5,0.0,0%,https://fantasy.ekstraklasa.org/player/18
19,Miroslav Čovilo,Cracovia,Pomocnik,0,2.0,0.0,0%,https://fantasy.ekstraklasa.org/player/19
21,Milan Dimun,Cracovia,Pomocnik,0,1.7,0.0,0%,https://fantasy.ekstraklasa.org/player/21
22,Radosław Kanach,Cracovia,Pomocnik,0,0.9,0.0,0%,https://fantasy.ekstraklasa.org/player/22
23,Karol Niemczycki,Cracovia,Bramkarz,0,1.9,0.0,0%,https://fantasy.ekstraklasa.org/player/23
24,Anton Karaczanakow,Cracovia,Pomocnik,0,1.8,0.0,0%,https://fantasy.ekstraklasa.org/player/24
25,Szymon Kiebzak,Cracovia,Pomocnik,0,0.7,0.0,0%,https://fantasy.ekstraklasa.org/player/25
26,Przemysław Pyrdek,Cracovia,Pomocnik,0,0.7,0.0,0%,https://fantasy.ekstraklasa.org/player/26
27,Sebastian Steblecki,Cracovia,Pomocnik,0,1.3,0.0,0%,https://fantasy.ekstraklasa.org/player/27
28,Mateusz Szczepaniak,Warta Poznań,Napastnik,0,1.6,0.0,0%,https://fantasy.ekstraklasa.org/player/28
29,Erik Jendrišek,Cracovia,Napastnik,0,1.9,0.0,0%,https://fantasy.ekstraklasa.org/player/29
30,Krzysztof Szewczyk,Cracovia,Napastnik,0,1.5,0.0,0%,https://fantasy.ekstraklasa.org/player/30
31,Tomáš Vestenický,Cracovia,Pomocnik,0,1.7,0.0,0%,https://fantasy.ekstraklasa.org/player/31
32,Karol Jaksik,Górnik Zabrze,Obrońca,0,0.7,0.0,0%,https://fantasy.ekstraklasa.org/player/32
33,Wojciech Małecki,Górnik Łęczna,Bramkarz,0,1.2,0.0,0%,https://fantasy.ekstraklasa.org/player/33
34,Dominik Mucha,Górnik Łęczna,Bramkarz,0,0.7,0.0,0%,https://fantasy.ekstraklasa.org/player/34
35,Sergiusz Prusak,Górnik Łęczna,Bramkarz,0,1.6,0.0,0%,https://fantasy.ekstraklasa.org/player/35
36,Łukasz Bogusławski,Górnik Łęczna,Obrońca,0,0.7,0.0,0%,https://fantasy.ekstraklasa.org/player/36
37,Damian Jakubik,Radomiak Radom,Obrońca,0,1.7,0.0,0%,https://fantasy.ekstraklasa.org/player/37
38,Dariusz Jarecki,Górnik Łęczna,Obrońca,0,1.0,0.0,0%,https://fantasy.ekstraklasa.org/player/38
39,Messias Leândro,Stal Mielec,Obrońca,0,1.5,0.0,0%,https://fantasy.ekstraklasa.org/player/39
40,Łukasz Mierzejewski,Górnik Łęczna,Obrońca,0,1.6,0.0,0%,https://fantasy.ekstraklasa.org/player/40
41,Paweł Sasin,Górnik Łęczna,Obrońca,0,1.5,0.0,0%,https://fantasy.ekstraklasa.org/player/41
42,Maciej Szmatiuk,Górnik Łęczna,Obrońca,0,1.7,0.0,0%,https://fantasy.ekstraklasa.org/player/42
43,Grzegorz Bonin,Górnik Łęczna,Pomocnik,0,2.2,0.0,0%,https://fantasy.ekstraklasa.org/player/43
44,Krzysztof Danielewicz,Górnik Łęczna,Pomocnik,0,1.5,0.0,0%,https://fantasy.ekstraklasa.org/player/44
45,Szymon Drewniak,Górnik Łęczna,Pomocnik,0,1.6,0.0,0%,https://fantasy.ekstraklasa.org/player/45
47,Grzegorz Piesio,Arka Gdynia,Pomocnik,0,1.7,0.0,0%,https://fantasy.ekstraklasa.org/player/47
48,Radosław Pruchnik,Górnik Łęczna,Pomocnik,0,1.6,0.0,0%,https://fantasy.ekstraklasa.org/player/48
49,Łukasz Tymiński,Górnik Łęczna,Pomocnik,0,1.7,0.0,0%,https://fantasy.ekstraklasa.org/player/49
50,Piotr Grzelczak,Górnik Łęczna,Napastnik,0,1.6,0.0,0%,https://fantasy.ekstraklasa.org/player/50
51,Przemysław Pitry,Górnik Łęczna,Napastnik,0,1.5,0.0,0%,https://fantasy.ekstraklasa.org/player/51
53,Bartosz Śpiączka,Wisła Płock,Napastnik,0,1.9,0.0,0%,https://fantasy.ekstraklasa.org/player/53
