player_id,name,team,position,total_points,price,points_per_price,popularity_pct,stats_url,form
480,Bartosz Nowak,GKS Katowice,Pomocnik,67,2.7,24.81,69%,https://fantasy.ekstraklasa.org/player/480,"[{'r': 24, 'pts': 6, 'p': True}, {'r': 25, 'pts': 8, 'p': True}, {'r': 26, 'pts': 2, 'p': True}, {'r': 27, 'pts': 8, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
2234,Ali Gholizadeh,Lech Poznań,Pomocnik,55,2.4,22.92,52%,https://fantasy.ekstraklasa.org/player/2234,"[{'r': 24, 'pts': 0, 'p': True}, {'r': 25, 'pts': 4, 'p': True}, {'r': 26, 'pts': 9, 'p': True}, {'r': 27, 'pts': 3, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
951,Arkadiusz Jędrych,GKS Katowice,Obrońca,52,2.0,26.0,34%,https://fantasy.ekstraklasa.org/player/951,"[{'r': 24, 'pts': 12, 'p': True}, {'r': 25, 'pts': 0, 'p': False}, {'r': 26, 'pts': 2, 'p': True}, {'r': 27, 'pts': 6, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
994,Lukas Klemenz,GKS Katowice,Obrońca,51,2.0,25.5,18%,https://fantasy.ekstraklasa.org/player/994,"[{'r': 24, 'pts': 6, 'p': True}, {'r': 25, 'pts': 6, 'p': True}, {'r': 26, 'pts': 0, 'p': True}, {'r': 27, 'pts': 13, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
2423,Mbaye N'Diaye,Motor Lublin,Pomocnik,51,2.0,25.5,38%,https://fantasy.ekstraklasa.org/player/2423,"[{'r': 24, 'pts': 0, 'p': False}, {'r': 25, 'pts': 5, 'p': True}, {'r': 26, 'pts': 10, 'p': True}, {'r': 27, 'pts': 2, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
2780,Aleksandar Ćirković,Lechia Gdańsk,Pomocnik,51,2.0,25.5,17%,https://fantasy.ekstraklasa.org/player/2780,"[{'r': 24, 'pts': 15, 'p': True}, {'r': 25, 'pts': 2, 'p': True}, {'r': 26, 'pts': 7, 'p': True}, {'r': 27, 'pts': 9, 'p': True}, {'r': 28, 'pts': 2, 'p': True}]"
2698,Leo Bengtsson,Lech Poznań,Pomocnik,48,2.2,21.82,10%,https://fantasy.ekstraklasa.org/player/2698,"[{'r': 24, 'pts': 2, 'p': True}, {'r': 25, 'pts': 6, 'p': True}, {'r': 26, 'pts': 14, 'p': True}, {'r': 27, 'pts': 3, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
1010,Jorge Félix Garcia,Piast Gliwice,Pomocnik,46,1.9,24.21,15%,https://fantasy.ekstraklasa.org/player/1010,"[{'r': 24, 'pts': 2, 'p': True}, {'r': 25, 'pts': 3, 'p': True}, {'r': 26, 'pts': 12, 'p': True}, {'r': 27, 'pts': 2, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
2671,Karol Czubak,Motor Lublin,Napastnik,44,2.9,15.17,44%,https://fantasy.ekstraklasa.org/player/2671,"[{'r': 24, 'pts': 2, 'p': True}, {'r': 25, 'pts': 7, 'p': True}, {'r': 26, 'pts': 6, 'p': True}, {'r': 27, 'pts': 6, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
827,Mateusz Grzybek,Zagłębie Lubin,Obrońca,43,1.8,23.89,24%,https://fantasy.ekstraklasa.org/player/827,"[{'r': 24, 'pts': 3, 'p': True}, {'r': 25, 'pts': 2, 'p': True}, {'r': 26, 'pts': 0, 'p': False}, {'r': 27, 'pts': 0, 'p': False}, {'r': 28, 'pts': 0, 'p': False}]"
2281,Sebastian Kerk,Arka Gdynia,Pomocnik,43,2.0,21.5,4%,https://fantasy.ekstraklasa.org/player/2281,"[{'r': 24, 'pts': 8, 'p': True}, {'r': 25, 'pts': 3, 'p': True}, {'r': 26, 'pts': 2, 'p': True}, {'r': 27, 'pts': 9, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
1435,Rafał Strączek,GKS Katowice,Bramkarz,42,1.9,22.11,6%,https://fantasy.ekstraklasa.org/player/1435,"[{'r': 24, 'pts': 6, 'p': True}, {'r': 25, 'pts': 6, 'p': True}, {'r': 26, 'pts': 2, 'p': True}, {'r': 27, 'pts': 7, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
1757,Bartosz Mrozek,Lech Poznań,Bramkarz,42,2.1,20.0,21%,https://fantasy.ekstraklasa.org/player/1757,"[{'r': 24, 'pts': 1, 'p': True}, {'r': 25, 'pts': 6, 'p': True}, {'r': 26, 'pts': 4, 'p': True}, {'r': 27, 'pts': 6, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
2205,Afimico Pululu,Jagiellonia Białystok,Napastnik,42,2.4,17.5,49%,https://fantasy.ekstraklasa.org/player/2205,"[{'r': 24, 'pts': 2, 'p': True}, {'r': 25, 'pts': 1, 'p': True}, {'r': 26, 'pts': 1, 'p': True}, {'r': 27, 'pts': 1, 'p': True}, {'r': 28, 'pts': 0, 'p': False}]"
