player_id,name,team,position,total_points,price,points_per_price,popularity_pct,stats_url,form,xg_per90,shots_per90,shots_on_target_per90,key_passes_per90,crosses_per90,crosses_accurate_per90
480,Bartosz Nowak,GKS Katowice,Pomocnik,79,2.7,29.26,71%,https://fantasy.ekstraklasa.org/player/480,"[{'r': 26, 'pts': 2, 'p': True}, {'r': 27, 'pts': 8, 'p': True}, {'r': 28, 'pts': 2, 'p': True}, {'r': 29, 'pts': 8, 'p': True}, {'r': 30, 'pts': 2, 'p': True}]",,,,,,
2234,Ali Gholizadeh,Lech Poznań,Pomocnik,76,2.5,30.4,55%,https://fantasy.ekstraklasa.org/player/2234,"[{'r': 26, 'pts': 9, 'p': True}, {'r': 27, 'pts': 3, 'p': True}, {'r': 28, 'pts': 5, 'p': True}, {'r': 29, 'pts': 6, 'p': True}, {'r': 30, 'pts': 10, 'p': True}]",,,,,,
2205,Afimico Pululu,Jagiellonia Białystok,Napastnik,63,2.5,25.2,49%,https://fantasy.ekstraklasa.org/player/2205,"[{'r': 26, 'pts': 1, 'p': True}, {'r': 27, 'pts': 1, 'p': True}, {'r': 28, 'pts': 6, 'p': True}, {'r': 29, 'pts': 10, 'p': True}, {'r': 30, 'pts': 5, 'p': True}]",,,,,,
2423,Mbaye N'Diaye,Motor Lublin,Pomocnik,62,2.1,29.52,37%,https://fantasy.ekstraklasa.org/player/2423,"[{'r': 26, 'pts': 10, 'p': True}, {'r': 27, 'pts': 2, 'p': True}, {'r': 28, 'pts': 7, 'p': True}, {'r': 29, 'pts': 2, 'p': True}, {'r': 30, 'pts': 2, 'p': True}]",,,,,,
951,Arkadiusz Jędrych,GKS Katowice,Obrońca,60,2.0,30.0,42%,https://fantasy.ekstraklasa.org/player/951,"[{'r': 26, 'pts': 2, 'p': True}, {'r': 27, 'pts': 6, 'p': True}, {'r': 28, 'pts': -3, 'p': True}, {'r': 29, 'pts': 2, 'p': True}, {'r': 30, 'pts': 9, 'p': True}]",,,,,,
765,Jesús Imaz,Jagiellonia Białystok,Pomocnik,57,4.2,13.57,21%,https://fantasy.ekstraklasa.org/player/765,"[{'r': 26, 'pts': 2, 'p': True}, {'r': 27, 'pts': 3, 'p': True}, {'r': 28, 'pts': 2, 'p': True}, {'r': 29, 'pts': 15, 'p': True}, {'r': 30, 'pts': 2, 'p': True}]",,,,,,
1010,Jorge Félix Garcia,Piast Gliwice,Pomocnik,55,1.9,28.95,12%,https://fantasy.ekstraklasa.org/player/1010,"[{'r': 26, 'pts': 12, 'p': True}, {'r': 27, 'pts': 2, 'p': True}, {'r': 28, 'pts': 2, 'p': True}, {'r': 29, 'pts': 2, 'p': True}, {'r': 30, 'pts': 5, 'p': True}]",,,,,,
1475,Mikael Ishak,Lech Poznań,Napastnik,55,4.1,13.41,27%,https://fantasy.ekstraklasa.org/player/1475,"[{'r': 26, 'pts': 5, 'p': True}, {'r': 27, 'pts': 2, 'p': True}, {'r': 28, 'pts': 2, 'p': True}, {'r': 29, 'pts': 3, 'p': True}, {'r': 30, 'pts': 12, 'p': True}]",,,,,,
2123,Michał Gurgul,Lech Poznań,Obrońca,55,1.8,30.56,27%,https://fantasy.ekstraklasa.org/player/2123,"[{'r': 26, 'pts': 3, 'p': True}, {'r': 27, 'pts': 5, 'p': True}, {'r': 28, 'pts': 0, 'p': True}, {'r': 29, 'pts': 3, 'p': True}, {'r': 30, 'pts': 17, 'p': True}]",,,,,,
2780,Aleksandar Ćirković,Lechia Gdańsk,Pomocnik,55,2.0,27.5,21%,https://fantasy.ekstraklasa.org/player/2780,"[{'r': 26, 'pts': 7, 'p': True}, {'r': 27, 'pts': 9, 'p': True}, {'r': 28, 'pts': 2, 'p': True}, {'r': 29, 'pts': 2, 'p': True}, {'r': 30, 'pts': 2, 'p': True}]",,,,,,
