player_id,name,team,position,total_points,price,points_per_price,popularity_pct,stats_url,form,availability_status,xg_per90,shots_per90,shots_on_target_per90,key_passes_per90,crosses_per90,crosses_accurate_per90
1225,Jan Grzesik,Radomiak Radom,Obrońca,13,2.0,6.5,16%,https://fantasy.ekstraklasa.org/player/1225,"[{'r': 1, 'pts': 13, 'p': True}]",,,,,,,
1926,Roberto Alves,Radomiak Radom,Pomocnik,8,1.8,4.44,2%,https://fantasy.ekstraklasa.org/player/1926,"[{'r': 1, 'pts': 8, 'p': True}]",,,,,,,
1285,Lucas Luquinhas,Radomiak Radom,Pomocnik,6,2.0,3.0,5%,https://fantasy.ekstraklasa.org/player/1285,"[{'r': 1, 'pts': 6, 'p': True}]",,,,,,,
2906,Stefan Feiertag,Wieczysta Kraków,Napastnik,6,1.9,3.16,16%,https://fantasy.ekstraklasa.org/player/2906,"[{'r': 1, 'pts': 6, 'p': True}]",,,,,,,
923,Rafał Augustyniak,Legia Warszawa,Obrońca,5,1.8,2.78,4%,https://fantasy.ekstraklasa.org/player/923,"[{'r': 1, 'pts': 5, 'p': True}]",,,,,,,
1126,Kamil Piątkowski,Legia Warszawa,Obrońca,5,2.0,2.5,11%,https://fantasy.ekstraklasa.org/player/1126,"[{'r': 1, 'pts': 5, 'p': True}]",,,,,,,
1319,Paweł Wszołek,Legia Warszawa,Obrońca,5,2.0,2.5,20%,https://fantasy.ekstraklasa.org/player/1319,"[{'r': 1, 'pts': 5, 'p': True}]",,,,,,,
2002,Léo Borges,Pogoń Szczecin,Obrońca,5,1.7,2.94,1%,https://fantasy.ekstraklasa.org/player/2002,"[{'r': 1, 'pts': 5, 'p': True}]",,,,,,,
2073,Linus Wahlqvist,Pogoń Szczecin,Obrońca,5,1.8,2.78,3%,https://fantasy.ekstraklasa.org/player/2073,"[{'r': 1, 'pts': 5, 'p': True}]",,,,,,,
2286,Valentin Cojocaru,Pogoń Szczecin,Bramkarz,5,1.8,2.78,2%,https://fantasy.ekstraklasa.org/player/2286,"[{'r': 1, 'pts': 5, 'p': True}]",,,,,,,
