| Kolejka | Data | Dzień | Godzina | Mecz |
|---|---|---|---|---|
| 27 | 04.04.2026 | sobota | 12:15 | GKS Katowice - Wisła Płock |
| 27 | 04.04.2026 | sobota | 14:45 | Raków Częstochowa - Widzew Łódź |
| 27 | 04.04.2026 | sobota | 17:30 | Górnik Zabrze - Cracovia |
| 27 | 04.04.2026 | sobota | 20:15 | Jagiellonia Białystok - Lech Poznań |
| 27 | 06.04.2026 | poniedziałek | 12:15 | Bruk-Bet Termalica Nieciecza - Piast Gliwice |
| 27 | 06.04.2026 | poniedziałek | 14:45 | Radomiak Radom - Motor Lublin |
| 27 | 06.04.2026 | poniedziałek | 17:30 | Pogoń Szczecin - Legia Warszawa |
| 27 | 06.04.2026 | poniedziałek | 20:15 | Lechia Gdańsk - Korona Kielce |
| 27 | 07.04.2026 | wtorek | 19:00 | Arka Gdynia - Zagłębie Lubin |
| 28 | 10.04.2026 | piątek | 18:00 | Wisła Płock - Lechia Gdańsk |
| 28 | 10.04.2026 | piątek | 20:30 | Korona Kielce - Jagiellonia Białystok |
| 28 | 11.04.2026 | sobota | 14:45 | Widzew Łódź - Bruk-Bet Termalica Nieciecza |
| 28 | 11.04.2026 | sobota | 17:30 | Zagłębie Lubin - Radomiak Radom |
| 28 | 11.04.2026 | sobota | 20:15 | Legia Warszawa - Górnik Zabrze |
| 28 | 12.04.2026 | niedziela | 12:15 | Cracovia - Arka Gdynia |
| 28 | 12.04.2026 | niedziela | 14:45 | Motor Lublin - Raków Częstochowa |
| 28 | 12.04.2026 | niedziela | 17:30 | Lech Poznań - GKS Katowice |
| 28 | 13.04.2026 | poniedziałek | 19:00 | Piast Gliwice - Pogoń Szczecin |
| 29 | 17.04.2026 | piątek | 18:00 | GKS Katowice - Motor Lublin |
| 29 | 17.04.2026 | piątek | 20:30 | Legia Warszawa - Zagłębie Lubin |
| 29 | 18.04.2026 | sobota | 14:45 | Radomiak Radom - Widzew Łódź |
| 29 | 18.04.2026 | sobota | 17:30 | Górnik Zabrze - Korona Kielce |
| 29 | 18.04.2026 | sobota | 20:15 | Pogoń Szczecin - Lech Poznań |
| 29 | 19.04.2026 | niedziela | 12:15 | Bruk-Bet Termalica Nieciecza - Wisła Płock |
| 29 | 19.04.2026 | niedziela | 14:45 | Raków Częstochowa - Cracovia |
| 29 | 19.04.2026 | niedziela | 17:30 | Arka Gdynia - Jagiellonia Białystok |
| 29 | 20.04.2026 | poniedziałek | 19:00 | Lechia Gdańsk - Piast Gliwice |
| 30 | 24.04.2026 | piątek | 18:00 | Zagłębie Lubin - Bruk-Bet Termalica Nieciecza |
| 30 | 24.04.2026 | piątek | 20:30 | Jagiellonia Białystok - Górnik Zabrze |
| 30 | 25.04.2026 | sobota | 14:45 | Korona Kielce - GKS Katowice |
| 30 | 25.04.2026 | sobota | 17:30 | Lechia Gdańsk - Raków Częstochowa |
| 30 | 25.04.2026 | sobota | 20:15 | Cracovia - Pogoń Szczecin |
| 30 | 26.04.2026 | niedziela | 12:15 | Wisła Płock - Radomiak Radom |
| 30 | 26.04.2026 | niedziela | 14:45 | Widzew Łódź - Motor Lublin |
| 30 | 26.04.2026 | niedziela | 17:30 | Lech Poznań - Legia Warszawa |
| 30 | 27.04.2026 | poniedziałek | 19:00 | Piast Gliwice - Arka Gdynia |
| 31 | 02.05.2026 | sobota | 12:00 | Arka Gdynia - Górnik Zabrze |
| 31 | 02.05.2026 | sobota | 12:00 | GKS Katowice - Bruk-Bet Termalica Nieciecza |
| 31 | 02.05.2026 | sobota | 12:00 | Korona Kielce - Piast Gliwice |
| 31 | 02.05.2026 | sobota | 12:00 | Legia Warszawa - Widzew Łódź |
| 31 | 02.05.2026 | sobota | 12:00 | Motor Lublin - Lech Poznań |
| 31 | 02.05.2026 | sobota | 12:00 | Pogoń Szczecin - Wisła Płock |
